Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
Kevin Huerter,SG,24,SAC,32,32,31.3,5.4,11.4,.475,2.8,6.9,.414,2.6,4.5,.569,.600,1.6,2.3,.694,0.6,2.6,3.2,2.8,1.1,0.3,1.6,2.6,15.2,14508929
Kevin Knox,SF,23,DET,30,0,14.0,2.0,4.4,.455,1.0,2.9,.360,1.0,1.5,.630,.572,0.6,0.8,.783,0.5,1.9,2.4,0.4,0.4,0.3,0.6,1.8,5.6,3000000
Kevin Love,PF,34,CLE,27,1,19.8,2.8,6.8,.413,1.9,4.9,.389,0.9,2.0,.472,.552,1.5,1.7,.872,0.8,6.1,6.9,2.1,0.1,0.2,1.2,1.5,9.0,28942830
Kevin Porter Jr.,PG,22,HOU,33,33,34.3,6.8,15.7,.432,2.0,6.0,.327,4.8,9.7,.498,.495,3.8,4.9,.767,1.5,4.0,5.5,5.7,1.4,0.4,3.7,2.9,19.3,3217631
Kevon Harris,SG,25,ORL,25,0,12.0,1.1,2.8,.400,0.4,1.0,.423,0.7,1.8,.386,.479,0.9,1.0,.846,0.8,1.1,2.0,0.4,0.4,0.1,0.6,1.3,3.6,
Kevon Looney,C,26,GSW,36,36,22.8,2.8,4.3,.639,0.0,0.0,,2.8,4.3,.639,.639,1.0,1.6,.638,2.5,5.3,7.8,2.9,0.4,0.6,0.4,2.8,6.5,8000000
Khem Birch,C,30,TOR,19,0,7.9,0.9,1.6,.581,0.1,0.1,.500,0.9,1.5,.586,.597,0.2,0.3,.800,0.4,0.8,1.3,0.4,0.3,0.3,0.3,1.1,2.2,6667500
Khris Middleton,SF,31,MIL,7,7,24.4,3.6,11.0,.325,1.6,5.9,.268,2.0,5.1,.389,.396,2.4,2.7,.895,0.1,2.4,2.6,4.4,0.6,0.1,1.6,2.6,11.1,37948276
Killian Hayes,PG,21,DET,37,24,25.5,3.6,9.5,.381,1.1,3.4,.323,2.5,6.2,.412,.438,0.8,1.0,.806,0.4,2.5,2.9,5.3,1.1,0.4,1.8,3.0,9.1,5837760
Kira Lewis Jr.,PG,21,NOP,2,0,11.5,2.0,5.5,.364,0.5,1.5,.333,1.5,4.0,.375,.409,1.0,1.0,1.000,0.0,1.0,1.0,0.5,0.5,0.0,0.0,2.0,5.5,4004280
Klay Thompson,SG,32,GSW,28,28,31.4,6.7,16.9,.397,3.7,9.8,.375,3.0,7.1,.429,.506,1.6,1.8,.880,0.6,3.2,3.8,2.5,0.7,0.5,1.8,1.9,18.7,40600080
Kristaps Porzingis,PF,27,WAS,32,32,32.9,7.3,15.6,.470,1.8,5.4,.333,5.5,10.2,.543,.528,5.4,6.8,.798,2.0,6.9,8.9,2.5,1.0,1.5,2.1,3.0,21.9,33833400
Kyle Anderson,PF,29,MIN,25,10,24.3,2.6,5.5,.478,0.4,1.2,.345,2.2,4.4,.514,.514,1.6,2.0,.800,0.5,3.7,4.2,3.4,1.1,0.8,1.4,1.9,7.3,8780488
Kyle Kuzma,PF,27,WAS,35,35,35.4,8.3,17.7,.466,2.5,7.5,.341,5.7,10.3,.557,.538,2.6,3.7,.703,0.9,6.6,7.5,3.6,0.6,0.4,2.7,2.5,21.6,13000000
Kyle Lowry,PG,36,MIA,30,30,35.9,4.5,11.0,.410,2.4,6.8,.358,2.1,4.2,.496,.521,3.0,3.5,.856,0.8,4.0,4.8,6.0,1.1,0.5,2.3,2.8,14.4,28333334
Kyrie Irving,PG,30,BRK,25,25,36.7,9.6,19.8,.488,3.0,8.4,.362,6.6,11.4,.581,.565,3.8,4.2,.913,0.8,4.1,4.9,4.7,0.7,0.9,2.4,2.8,26.1,36934550
