Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
Damian Jones,C,27,LAL,18,1,9.3,1.1,2.0,0.556,0.0,0.2,0.0,1.1,1.8,0.606,0.556,0.8,1.1,0.75,1.0,1.9,2.9,0.2,0.2,0.6,0.4,0.8,3.1,Below mean
Damian Lillard,PG,32,POR,22,22,35.1,8.3,18.8,0.441,4.2,11.1,0.38,4.0,7.6,0.53,0.553,6.7,7.4,0.908,0.6,3.2,3.8,7.2,0.8,0.3,3.5,1.9,27.5,Above mean
Damion Lee,SG,30,PHO,36,2,21.9,2.8,6.1,0.464,1.9,3.8,0.486,1.0,2.3,0.427,0.616,1.0,1.1,0.925,0.6,2.8,3.4,1.3,0.4,0.1,0.9,1.6,8.6,Below mean
Daniel Gafford,C,24,WAS,36,5,15.5,2.9,3.8,0.752,0.0,0.0,,2.9,3.8,0.752,0.752,1.2,2.0,0.603,1.8,2.7,4.5,0.5,0.4,1.1,0.9,1.9,6.9,Below mean
Danuel House Jr.,SF,29,PHI,28,2,17.0,1.7,3.4,0.495,0.7,2.0,0.345,1.0,1.4,0.7,0.595,0.9,1.1,0.75,0.3,1.7,2.0,0.8,0.2,0.3,0.5,1.4,4.9,Below mean
Dario Šarić,PF,28,PHO,18,3,10.1,1.2,3.4,0.355,0.5,1.5,0.333,0.7,1.9,0.371,0.427,0.4,0.6,0.8,0.9,1.9,2.8,0.8,0.2,0.1,0.6,1.4,3.4,Below mean
Darius Bazley,PF,22,OKC,23,1,16.6,2.1,4.9,0.438,0.5,1.4,0.364,1.6,3.4,0.468,0.491,0.9,1.8,0.488,0.9,2.8,3.7,1.0,0.5,1.1,0.6,1.2,5.7,Below mean
Darius Garland,PG,23,CLE,29,29,36.0,7.3,16.6,0.444,2.5,6.3,0.396,4.9,10.3,0.473,0.519,4.3,4.9,0.879,0.4,2.3,2.7,7.8,1.3,0.2,3.3,2.1,21.4,Below mean
David Duke Jr.,SG,23,BRK,14,0,9.0,1.4,3.1,0.442,0.0,0.4,0.0,1.4,2.6,0.514,0.442,0.3,0.6,0.5,0.4,0.6,1.1,0.9,0.4,0.1,0.9,1.6,3.0,
David Roddy,PF,21,MEM,32,1,18.6,2.5,6.2,0.401,0.9,3.3,0.283,1.5,2.8,0.538,0.477,0.7,1.0,0.636,0.6,2.1,2.7,0.7,0.4,0.3,0.8,1.4,6.5,Below mean
Davion Mitchell,PG,24,SAC,32,3,19.5,2.6,5.7,0.451,0.8,2.6,0.305,1.8,3.1,0.57,0.519,0.4,0.5,0.706,0.2,1.3,1.6,2.6,0.6,0.3,1.0,1.5,6.3,Below mean
Davon Reed,SG,27,DEN,23,1,10.3,0.8,2.5,0.31,0.5,1.5,0.353,0.3,1.0,0.25,0.414,0.5,0.7,0.688,0.3,1.2,1.5,0.6,0.3,0.1,0.6,1.2,2.6,Below mean
DayRon Sharpe,C,21,BRK,18,1,8.6,1.3,2.6,0.522,0.2,0.2,0.75,1.2,2.3,0.5,0.554,0.7,0.9,0.706,1.3,1.9,3.2,0.6,0.2,0.6,0.7,1.7,3.5,Below mean
DeAaron Fox,PG,25,SAC,30,30,32.5,8.7,17.1,0.507,1.8,5.1,0.344,6.9,12.0,0.577,0.558,4.5,5.7,0.788,0.4,4.4,4.8,5.7,0.9,0.4,2.6,2.7,23.6,Above mean
DeAndre Hunter,SF,25,ATL,28,28,30.7,5.4,12.0,0.448,1.4,4.0,0.354,3.9,7.9,0.495,0.507,2.8,3.4,0.823,0.6,3.4,4.1,1.2,0.4,0.2,1.3,2.9,15.0,Below mean
DeAnthony Melton,PG,24,PHI,30,23,30.2,4.4,10.4,0.423,2.4,6.2,0.392,2.0,4.2,0.468,0.54,0.6,0.9,0.704,1.1,3.6,4.7,3.2,2.0,0.4,1.7,2.3,11.9,Below mean
DeAndre Jordan,C,34,DEN,26,3,14.4,2.0,2.7,0.754,0.0,0.0,1.0,2.0,2.6,0.75,0.761,0.7,1.4,0.472,1.3,4.0,5.3,0.8,0.2,0.7,1.1,1.6,4.7,Below mean
DeAndre Jordan,C,34,DEN,26,3,14.4,2.0,2.7,0.754,0.0,0.0,1.0,2.0,2.6,0.75,0.761,0.7,1.4,0.472,1.3,4.0,5.3,0.8,0.2,0.7,1.1,1.6,4.7,Below mean
DeMar DeRozan,SF,33,CHI,34,34,36.0,9.4,18.3,0.512,0.4,1.4,0.298,8.9,16.9,0.53,0.523,7.4,8.3,0.887,0.5,4.6,5.2,5.0,0.9,0.4,1.9,2.7,26.5,Above mean
Dean Wade,PF,26,CLE,17,9,24.1,2.2,4.9,0.452,1.4,3.3,0.411,0.9,1.6,0.536,0.589,0.5,0.8,0.692,0.6,3.5,4.1,1.0,0.7,0.4,0.4,2.5,6.4,Below mean
Deandre Ayton,C,24,PHO,32,32,29.1,7.9,12.7,0.619,0.2,0.6,0.389,7.7,12.2,0.63,0.628,2.1,2.9,0.731,3.0,6.6,9.7,1.9,0.5,0.8,2.1,2.9,18.1,Above mean
Dejounte Murray,SG,26,ATL,30,30,35.9,8.1,18.2,0.446,2.0,5.7,0.347,6.1,12.5,0.491,0.5,2.3,2.8,0.833,0.7,4.6,5.3,6.2,1.7,0.4,2.5,1.7,20.5,Above mean
Delon Wright,PG,30,WAS,7,0,19.9,1.9,4.7,0.394,0.6,2.4,0.235,1.3,2.3,0.563,0.455,1.1,1.6,0.727,0.6,1.1,1.7,3.6,2.6,0.6,0.9,1.3,5.4,Below mean
Deni Avdija,SF,22,WAS,34,29,25.9,2.9,6.9,0.421,0.9,3.0,0.304,2.0,3.9,0.511,0.487,1.4,1.7,0.793,0.9,4.6,5.5,2.6,0.8,0.6,1.4,3.1,8.1,Below mean
Dennis Schröder,PG,29,LAL,21,18,27.2,3.7,8.3,0.443,1.0,3.0,0.349,2.6,5.3,0.495,0.506,2.1,2.4,0.9,0.1,2.0,2.1,3.6,0.4,0.0,1.8,2.1,10.5,Below mean
Dennis Smith Jr.,PG,25,CHO,15,11,27.9,4.1,8.9,0.463,0.7,2.0,0.333,3.5,6.9,0.5,0.5,0.4,0.8,0.5,0.6,2.7,3.3,5.7,1.8,0.7,1.5,2.3,9.3,Below mean
Dereon Seabron,SG,22,NOP,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Derrick Jones Jr.,SF,25,CHI,25,0,13.8,1.9,3.8,0.5,0.4,1.3,0.344,1.5,2.6,0.578,0.557,1.2,1.4,0.833,0.9,1.4,2.3,0.6,0.5,0.7,0.4,1.3,5.5,Below mean
Derrick Rose,PG,34,NYK,24,0,12.8,2.4,6.0,0.4,0.8,2.3,0.345,1.6,3.8,0.433,0.466,0.4,0.4,1.0,0.3,1.3,1.6,1.8,0.3,0.2,0.9,0.7,6.0,Above mean
